Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19
2019/10/22 1:01:31 PM EST,Graduate program,22,STEM majors,Yes,Female,Maybe,Saving account,Easy management,Newspaper/magazine,Yes,Not Sure,3,Yes,Social media influencers,No,No,$500 - $1000,$500 - $1000,10% - 15%
2019/10/22 2:11:35 PM EST,Graduate program,23,Business related majors,Yes,Female,I already have investments,Fund;Saving account,Rates of return;Risk manageable;Easy management,Social media/Youtube;Friends recommend,No,No,2,Yes,Investment mobile app;Social media influencers,Yes,No,$2000 - $3000,$1000 - $2000,<5%
2019/10/23 3:51:30 AM EST,Graduate program,22,STEM majors,Yes,Male,Maybe,Stock;Insurance;Saving account,Rates of return;Risk manageable,Newspaper/magazine,Yes,Yes,2,Yes,Seminar,Yes,No,< $500,$500 - $1000,10% - 15%
2019/10/23 8:20:21 AM EST,Graduate program,23,STEM majors,Yes,Female,Yes,Stock,Rates of return;Risk manageable,Newspaper/magazine;Social media/Youtube;Friends recommend,Yes,Not Sure,2,Yes,Webinar;Investment mobile app;Youtube tutorials,Partially,Yes,< $500,< $500,5% - 10%
2019/10/23 8:54:35 AM EST,Graduate program,22,STEM majors,Yes,Female,I already have investments,Stock;Fund;Bond;Insurance;Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,"Social media/Youtube;Friends recommend;Online advertisements;Bank recommend(Text messages, phone calls, etc)",Yes,Yes,3,Yes,Investment mobile app;Youtube tutorials;Social media influencers,Yes,Prefer not to answer,< $500,< $500,5% - 10%
2019/10/23 9:44:09 AM EST,Graduate program,22,STEM majors,Yes,Female,Yes,Stock;Fund;Bond,Rates of return;Risk manageable;Easy management,"Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,No,4,Yes,Seminar;Webinar;Investment mobile app,No,No,$1000 - $ 2000,$500 - $1000,15% - 20%
2019/10/23 10:08:19 AM EST,Graduate program,22,STEM majors,Yes,Female,Yes,Stock;Fund;Bond,Rates of return;Risk manageable;Easy management,Social media/Youtube,Yes,Yes,4,Yes,Webinar;Investment mobile app,Partially,No,$1000 - $ 2000,$500 - $1000,>20%
2019/10/24 4:53:38 PM EST,Graduate program,24,STEM majors,Yes,Female,Yes,Stock;Fund;Saving account,Rates of return;Risk manageable;Easy entrance,TV;Parents/family members,Yes,No,1,Yes,Seminar;Investment mobile app;Youtube tutorials,Yes,No,< $500,$500 - $1000,<5%
2019/10/25 11:47:10 AM EST,Graduate program,28,Business related majors,Yes,Male,Yes,Stock;Fund;Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,"Social media/Youtube;Bank recommend(Text messages, phone calls, etc)",Yes,No,4,Yes,Investment mobile app;Youtube tutorials,Partially,No,< $500,$500 - $1000,5% - 10%
2019/10/25 2:02:05 PM EST,Junior,20,STEM majors,Yes,Male,Yes,Stock;Others,Rates of return;Risk manageable,Newspaper/magazine;books,Yes,Yes,3,Yes,Youtube tutorials,Yes,Yes,$500 - $1000,$500 - $1000,10% - 15%
